"Time","Current power/SENSOR"
2023-04-09 04:57:10,142.00 mA
2023-04-09 04:57:20,141.00 mA
2023-04-09 04:57:30,137.00 mA
2023-04-09 04:57:40,141.00 mA
2023-04-09 04:57:50,142.00 mA
2023-04-09 04:58:00,158.00 mA
2023-04-09 04:58:10,164.00 mA
2023-04-09 04:58:20,162.00 mA
2023-04-09 04:58:30,165.00 mA
2023-04-09 04:58:40,162.00 mA
2023-04-09 04:58:50,168.00 mA
2023-04-09 04:59:00,167.00 mA
2023-04-09 04:59:10,166.00 mA
2023-04-09 04:59:20,165.00 mA
2023-04-09 04:59:30,162.00 mA
2023-04-09 04:59:40,163.00 mA
2023-04-09 04:59:50,163.00 mA
2023-04-09 05:00:00,163.00 mA
2023-04-09 05:00:10,160.00 mA
2023-04-09 05:00:20,162.00 mA
2023-04-09 05:00:30,164.00 mA
2023-04-09 05:00:40,161.00 mA
2023-04-09 05:00:50,166.00 mA
2023-04-09 05:01:00,195.00 mA
2023-04-09 05:01:10,195.00 mA
2023-04-09 05:01:20,194.00 mA
2023-04-09 05:01:30,197.00 mA
2023-04-09 05:01:40,194.00 mA
2023-04-09 05:01:50,195.00 mA
2023-04-09 05:02:00,197.00 mA
2023-04-09 05:02:10,194.00 mA
2023-04-09 05:02:20,195.00 mA
2023-04-09 05:02:30,196.00 mA
2023-04-09 05:02:40,193.00 mA
2023-04-09 05:02:50,194.00 mA
2023-04-09 05:03:00,195.00 mA
2023-04-09 05:03:10,192.00 mA
2023-04-09 05:03:20,193.00 mA
2023-04-09 05:03:30,188.00 mA
2023-04-09 05:03:40,195.00 mA
2023-04-09 05:03:50,194.00 mA
2023-04-09 05:04:00,193.00 mA
2023-04-09 05:04:10,198.00 mA
2023-04-09 05:04:20,199.00 mA
2023-04-09 05:04:30,197.00 mA
2023-04-09 05:04:40,200.00 mA
2023-04-09 05:04:50,194.00 mA
2023-04-09 05:05:00,197.00 mA
2023-04-09 05:05:10,196.00 mA
2023-04-09 05:05:20,195.00 mA
2023-04-09 05:05:30,195.00 mA
