voltage(V),current(mA),battery_percent,battery_temperature(Celsius),remaining_battery_charge(mAh),battery_capacity(mAh),battery_technology
3.968,-4882,9,40.2,355.352,4370,Li-ion
3.968,-4842,9,40.2,355.352,4370,Li-ion
3.968,-4828,9,40.2,355.352,4370,Li-ion
3.968,-4832,9,40.2,355.352,4370,Li-ion
3.968,-4752,9,40.2,355.352,4370,Li-ion
3.968,-4872,9,40.2,371.88,4370,Li-ion
3.968,-4860,9,40.2,371.88,4370,Li-ion
3.968,-4883,9,40.2,371.88,4370,Li-ion
3.968,-4786,9,40.2,371.88,4370,Li-ion
3.968,-4794,9,40.2,371.88,4370,Li-ion
3.968,-4848,9,40.2,371.88,4370,Li-ion
3.968,-4892,9,40.2,371.88,4370,Li-ion
3.968,-4749,9,40.2,371.88,4370,Li-ion
3.968,-4818,9,40.2,371.88,4370,Li-ion
3.968,-4688,9,40.2,371.88,4370,Li-ion
3.96,-4895,9,40.3,384.276,4370,Li-ion
3.96,-4850,9,40.3,384.276,4370,Li-ion
3.96,-4836,9,40.3,384.276,4370,Li-ion
3.96,-4805,9,40.3,384.276,4370,Li-ion
3.96,-4916,9,40.3,384.276,4370,Li-ion
3.96,-4860,9,40.3,384.276,4370,Li-ion
3.96,-4805,9,40.3,384.276,4370,Li-ion
3.96,-4862,9,40.3,384.276,4370,Li-ion
3.96,-4872,9,40.3,384.276,4370,Li-ion
3.96,-4921,9,40.3,384.276,4370,Li-ion
3.973,-4756,10,40.4,396.672,4370,Li-ion
3.973,-4852,10,40.4,396.672,4370,Li-ion
3.973,-4776,10,40.4,396.672,4370,Li-ion
3.973,-4905,10,40.4,396.672,4370,Li-ion
3.973,-4802,10,40.4,396.672,4370,Li-ion
3.973,-4852,10,40.4,396.672,4370,Li-ion
3.973,-4880,10,40.4,396.672,4370,Li-ion
3.973,-4780,10,40.4,396.672,4370,Li-ion
3.973,-4770,10,40.4,396.672,4370,Li-ion
3.973,-4753,10,40.4,396.672,4370,Li-ion
3.979,-4730,10,40.5,413.2,4370,Li-ion
3.979,-4860,10,40.5,413.2,4370,Li-ion
3.979,-4913,10,40.5,413.2,4370,Li-ion
3.979,-4866,10,40.5,413.2,4370,Li-ion
3.979,-4816,10,40.5,413.2,4370,Li-ion
3.979,-4841,10,40.5,413.2,4370,Li-ion
3.979,-4800,10,40.5,413.2,4370,Li-ion
3.979,-4884,10,40.5,413.2,4370,Li-ion
3.979,-4441,10,40.5,413.2,4370,Li-ion
3.978,-4622,10,40.6,425.596,4370,Li-ion
3.978,-4755,10,40.6,425.596,4370,Li-ion
3.978,-4811,10,40.6,425.596,4370,Li-ion
3.978,-4800,10,40.6,425.596,4370,Li-ion
3.978,-4850,10,40.6,425.596,4370,Li-ion
3.978,-4732,10,40.6,425.596,4370,Li-ion
3.978,-4857,10,40.6,425.596,4370,Li-ion
3.978,-4860,10,40.6,425.596,4370,Li-ion
3.978,-4870,10,40.6,425.596,4370,Li-ion
3.978,-4805,10,40.6,425.596,4370,Li-ion
3.98,-4539,11,40.6,437.992,4370,Li-ion
3.98,-4693,11,40.6,437.992,4370,Li-ion
3.98,-4850,11,40.6,437.992,4370,Li-ion
3.98,-4850,11,40.6,437.992,4370,Li-ion
3.98,-4783,11,40.6,437.992,4370,Li-ion
3.98,-4875,11,40.6,437.992,4370,Li-ion
3.98,-4930,11,40.6,437.992,4370,Li-ion
3.98,-4754,11,40.6,437.992,4370,Li-ion
3.98,-4879,11,40.6,437.992,4370,Li-ion
3.98,-4900,11,40.6,437.992,4370,Li-ion
3.983,-4778,11,40.7,454.52,4370,Li-ion
3.983,-4812,11,40.7,454.52,4370,Li-ion
3.983,-4828,11,40.7,454.52,4370,Li-ion
3.983,-4754,11,40.7,454.52,4370,Li-ion
3.983,-4774,11,40.7,454.52,4370,Li-ion
3.983,-4917,11,40.7,454.52,4370,Li-ion
3.983,-4755,11,40.7,454.52,4370,Li-ion
3.983,-4929,11,40.7,454.52,4370,Li-ion
3.983,-4923,11,40.7,454.52,4370,Li-ion
3.983,-4869,11,40.7,454.52,4370,Li-ion
3.978,-4843,11,40.8,466.916,4370,Li-ion
3.978,-4820,11,40.8,466.916,4370,Li-ion
3.978,-4782,11,40.8,466.916,4370,Li-ion
3.978,-4809,11,40.8,466.916,4370,Li-ion
3.978,-4793,11,40.8,466.916,4370,Li-ion
3.978,-4825,11,40.8,466.916,4370,Li-ion
3.978,-4848,11,40.8,466.916,4370,Li-ion
3.978,-4837,11,40.8,466.916,4370,Li-ion
3.978,-4859,11,40.8,466.916,4370,Li-ion
3.978,-4788,11,40.8,466.916,4370,Li-ion
3.985,-4808,12,40.9,483.444,4370,Li-ion
3.985,-4870,12,40.9,483.444,4370,Li-ion
3.985,-4931,12,40.9,483.444,4370,Li-ion
3.985,-4795,12,40.9,483.444,4370,Li-ion
3.985,-4785,12,40.9,483.444,4370,Li-ion
3.985,-4891,12,40.9,483.444,4370,Li-ion
3.985,-4813,12,40.9,483.444,4370,Li-ion
3.985,-4826,12,40.9,483.444,4370,Li-ion
3.985,-4829,12,40.9,483.444,4370,Li-ion
