"Time","Current power/SENSOR"
2023-04-10 03:08:10,22.00 mA
2023-04-10 03:08:20,22.00 mA
2023-04-10 03:08:30,22.00 mA
2023-04-10 03:08:40,22.00 mA
2023-04-10 03:08:50,21.00 mA
2023-04-10 03:09:00,22.00 mA
2023-04-10 03:09:10,22.00 mA
2023-04-10 03:09:20,22.00 mA
2023-04-10 03:09:30,22.00 mA
2023-04-10 03:09:40,21.00 mA
2023-04-10 03:09:50,22.00 mA
2023-04-10 03:10:00,21.00 mA
2023-04-10 03:10:10,22.00 mA
2023-04-10 03:10:20,22.00 mA
2023-04-10 03:10:30,21.00 mA
2023-04-10 03:10:40,22.00 mA
2023-04-10 03:10:50,21.00 mA
2023-04-10 03:11:00,22.00 mA
2023-04-10 03:11:10,22.00 mA
2023-04-10 03:11:20,22.00 mA
2023-04-10 03:11:30,22.00 mA
2023-04-10 03:11:40,22.00 mA
2023-04-10 03:11:50,22.00 mA
2023-04-10 03:12:00,21.00 mA
2023-04-10 03:12:10,21.00 mA
2023-04-10 03:12:20,22.00 mA
2023-04-10 03:12:30,22.00 mA
2023-04-10 03:12:40,21.00 mA
2023-04-10 03:12:50,22.00 mA
2023-04-10 03:13:00,21.00 mA
2023-04-10 03:13:10,21.00 mA
2023-04-10 03:13:20,22.00 mA
2023-04-10 03:13:30,22.00 mA
2023-04-10 03:13:40,21.00 mA
2023-04-10 03:13:50,21.00 mA
2023-04-10 03:14:00,21.00 mA
2023-04-10 03:14:10,21.00 mA
2023-04-10 03:14:20,22.00 mA
2023-04-10 03:14:30,21.00 mA
2023-04-10 03:14:40,21.00 mA
2023-04-10 03:14:50,22.00 mA
2023-04-10 03:15:00,21.00 mA
2023-04-10 03:15:10,21.00 mA
2023-04-10 03:15:20,22.00 mA
2023-04-10 03:15:30,21.00 mA
2023-04-10 03:15:40,21.00 mA
2023-04-10 03:15:50,21.00 mA
2023-04-10 03:16:00,21.00 mA
2023-04-10 03:16:10,21.00 mA
2023-04-10 03:16:20,21.00 mA
2023-04-10 03:16:30,21.00 mA
2023-04-10 03:16:40,20.00 mA
2023-04-10 03:16:50,21.00 mA
2023-04-10 03:17:00,21.00 mA
2023-04-10 03:17:10,20.00 mA
2023-04-10 03:17:20,20.00 mA
2023-04-10 03:17:30,21.00 mA
2023-04-10 03:17:40,20.00 mA
2023-04-10 03:17:50,20.00 mA
2023-04-10 03:18:00,21.00 mA
2023-04-10 03:18:10,21.00 mA
2023-04-10 03:18:20,21.00 mA
2023-04-10 03:18:30,20.00 mA
2023-04-10 03:18:40,20.00 mA
2023-04-10 03:18:50,20.00 mA
2023-04-10 03:19:00,20.00 mA
2023-04-10 03:19:10,21.00 mA
2023-04-10 03:19:20,21.00 mA
2023-04-10 03:19:30,20.00 mA
2023-04-10 03:19:40,20.00 mA
2023-04-10 03:19:50,20.00 mA
2023-04-10 03:20:00,20.00 mA
2023-04-10 03:20:10,20.00 mA
2023-04-10 03:20:20,21.00 mA
2023-04-10 03:20:30,20.00 mA
2023-04-10 03:20:40,20.00 mA
2023-04-10 03:20:50,20.00 mA
2023-04-10 03:21:00,19.00 mA
2023-04-10 03:21:10,20.00 mA
2023-04-10 03:21:20,23.00 mA
2023-04-10 03:21:30,22.00 mA
2023-04-10 03:21:40,19.00 mA
2023-04-10 03:21:50,20.00 mA
2023-04-10 03:22:00,20.00 mA
2023-04-10 03:22:10,20.00 mA
2023-04-10 03:22:20,20.00 mA
2023-04-10 03:22:30,19.00 mA
2023-04-10 03:22:40,21.00 mA
2023-04-10 03:22:50,20.00 mA
2023-04-10 03:23:00,19.00 mA
2023-04-10 03:23:10,20.00 mA
2023-04-10 03:23:20,19.00 mA
2023-04-10 03:23:30,20.00 mA
2023-04-10 03:23:40,19.00 mA
2023-04-10 03:23:50,20.00 mA
2023-04-10 03:24:00,19.00 mA
2023-04-10 03:24:10,20.00 mA
2023-04-10 03:24:20,20.00 mA
2023-04-10 03:24:30,19.00 mA
2023-04-10 03:24:40,19.00 mA
2023-04-10 03:24:50,20.00 mA
2023-04-10 03:25:00,19.00 mA
2023-04-10 03:25:10,20.00 mA
2023-04-10 03:25:20,19.00 mA
2023-04-10 03:25:30,20.00 mA
2023-04-10 03:25:40,19.00 mA
2023-04-10 03:25:50,19.00 mA
2023-04-10 03:26:00,19.00 mA
2023-04-10 03:26:10,19.00 mA
2023-04-10 03:26:20,18.00 mA
2023-04-10 03:26:30,20.00 mA
2023-04-10 03:26:40,19.00 mA
2023-04-10 03:26:50,19.00 mA
2023-04-10 03:27:00,18.00 mA
2023-04-10 03:27:10,19.00 mA
2023-04-10 03:27:20,20.00 mA
2023-04-10 03:27:30,19.00 mA
2023-04-10 03:27:40,19.00 mA
2023-04-10 03:27:50,19.00 mA
2023-04-10 03:28:00,18.00 mA
2023-04-10 03:28:10,19.00 mA
